Subject,sex,age,Dist,speed,TotalObjVisits,TotalHallwayVisits,turns,pauses,evenness,HallEvenness,ButtonPress,entropy,hallwayseq
330,Male,midlife,194.5,0.40520833333333334,14,52.5,70.5,1138.01614022909,1.4529663145135578,1.8333333333333333,132.5,3.086939253604885,8
343,Male,midlife,173.375,0.3611979166666667,10.5,50.5,60,1266.95302510526,2.0615528128088303,2.8185890875479607,114.5,2.98807721857956,12
345,Male,midlife,193.5,0.403125,11.5,50.5,50,1181.40031430513,1.2360330811826103,1.922093765778466,109.5,3.115023596413454,9
346,Male,midlife,170.5,0.35520833333333335,7.5,43,47,1980.1232257326,1.7320508075688772,3.0867098629086893,94.5,2.907039783234278,11
348,Male,midlife,205.5,0.428125,13.5,56.5,56.5,734.596952626578,1.118033988749895,1.509230856356236,123.5,3.1060233040057645,7
352,Male,midlife,264.875,0.5518229166666667,18,70.5,69,579.815284075754,1,2.5385910352879693,151.5,3.156948323028331,9
353,Male,midlife,245.375,0.5111979166666667,13.5,65,76.5,1282.96597580501,0.7071067811865476,1.7159383568311668,151,3.1337166056486083,10
354,Male,midlife,228.75,0.4765625,12,57.5,53.5,924.767797552836,1.224744871391589,2.958039891549808,121,3.0625364849274592,10
357,Male,midlife,132.5,0.2760416666666667,8.5,36,51,1954.75148809524,0.927960727138337,1.7638342073763937,93.5,3.0609382451385434,10
388,Male,midlife,251.625,0.52421875,15,64.5,73,664.987878787879,1.5811388300841898,5.214829282387338,153,3.038937825504705,7
411,Male,midlife,260.125,0.5419270833333333,14.5,71.5,69.5,724.901276276276,1.5634719199411433,2.204792759220492,151.5,3.091450414169643,13
412,Male,midlife,230.875,0.48098958333333336,12,58,71,1056.43023378822,1.3228756555322954,2.7386127875258306,138.5,3.076949650147574,10
426,Male,midlife,247.375,0.5153645833333333,13,69.5,73,866.403774464119,2.088327347690278,2.179449471770337,147.5,3.0076029817840886,12
428,Male,midlife,267.75,0.5578125,16.5,73.5,89,462.875932647712,1.7320508075688772,3.8765677832043357,173.5,3.108116938237179,10
433,Male,midlife,247.375,0.5153645833333333,12,66,72,876.799393090567,1.224744871391589,3.2446537223219645,147.5,3.0716966605773304,10
435,Male,midlife,257.5,0.5364583333333334,15.5,69,67.5,828.424056064073,1.130388330520878,2.697735676039774,146,3.1178405140226637,9
436,Male,midlife,271.5,0.565625,17.5,70,76,544.714686435584,0.927960727138337,2.848001248439177,159,3.1562142053763522,10
437,Male,midlife,296.125,0.6169270833333333,16,80,75,397.608937833297,1.4240006242195884,2.5055493963954847,166.5,3.118818345534486,11
